8,40000000,2024-06-29
8,60000003,2024-11-10
5,30000003,2024-08-10
7,20000000,2024-05-20
9,70000007,2024-11-23
9,50000006,2024-01-30
7,10000008,2024-02-08
3,70000007,2024-12-09
4,70000009,2024-11-22
10,70000004,2024-07-26
3,70000004,2024-07-05
5,10000002,2024-09-19
1,50000009,2024-12-13
8,70000000,2024-03-22
6,10000005,2024-01-16
9,50000009,2024-03-14
2,50000007,2024-11-07
9,40000002,2024-12-13
2,10000002,2024-08-12
5,50000005,2024-01-18
2,10000008,2024-03-05
3,50000004,2024-02-04
5,40000000,2024-04-30
8,20000003,2024-11-26
9,50000002,2024-07-06
3,20000007,2024-07-04
7,10000005,2024-07-15
2,50000005,2024-10-17
4,70000009,2024-01-17
8,50000003,2024-11-05
6,30000002,2024-03-19
1,60000009,2024-12-13
7,70000001,2024-08-18
1,30000003,2024-07-08
7,20000007,2024-07-09
9,10000008,2024-08-15
6,60000008,2024-02-09
4,10000004,2024-10-20
7,40000007,2024-03-11
2,30000005,2024-09-28
6,10000005,2024-07-06
4,30000005,2024-07-22
1,10000005,2024-06-09
6,50000000,2024-11-28
2,40000009,2024-05-22
6,70000005,2024-05-07
3,60000000,2024-02-28
3,70000009,2024-01-14
1,70000000,2024-04-05
5,40000002,2024-09-12
8,10000004,2024-09-22
3,30000004,2024-07-17
8,40000006,2024-10-14
8,50000005,2024-03-01
10,10000006,2024-05-14
1,50000002,2024-05-13
2,40000004,2024-12-26
1,20000005,2024-08-16
5,50000007,2024-04-19
4,60000005,2024-11-09
3,60000001,2024-05-26
9,60000006,2024-12-21
10,50000009,2024-09-08
9,50000003,2024-04-12
7,30000003,2024-03-03
2,70000003,2024-03-10
5,70000003,2024-02-07
4,50000007,2024-08-19
5,70000006,2024-03-29
2,40000004,2024-12-31
1,20000000,2024-08-15
4,60000004,2024-02-14
7,20000000,2024-12-15
10,60000005,2024-06-12
8,30000003,2024-12-07
2,70000009,2024-06-26
2,40000007,2024-12-29
8,50000001,2024-02-03
10,20000003,2024-10-08
9,20000000,2024-10-04
1,50000001,2024-05-28
9,40000007,2024-06-02
10,40000009,2024-03-21
4,60000007,2024-12-30
3,60000004,2024-12-29
5,30000001,2024-12-24
7,60000006,2024-11-22
1,50000004,2024-03-30
10,60000007,2024-07-04
6,10000005,2024-09-17
